UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
07-0289_f1_0002_-2390.17_-6555.5,-2390.17,-6555.5,0.969398
07-0289_f1_0002_-2342.43_-6556.48,-2342.43,-6556.48,-0.537843
07-0289_f1_0002_-2444.64_-6556.14,-2444.64,-6556.14,0.438629
07-0289_f1_0002_-2405.19_-6555.25,-2405.19,-6555.25,0.744914
07-0289_f1_0002_-2370.69_-6557.2,-2370.69,-6557.2,-0.835496
07-0289_f1_0002_-2401.06_-6557.59,-2401.06,-6557.59,-0.328221
07-0289_f1_0002_-2407.02_-6560.18,-2407.02,-6560.18,0.263041
07-0289_f1_0002_-2480.61_-6559.21,-2480.61,-6559.21,-0.890126
07-0289_f1_0002_-2449.4_-6559.71,-2449.4,-6559.71,-0.145954
07-0289_f1_0002_-2330.82_-6560.14,-2330.82,-6560.14,-1.27632
07-0289_f1_0002_-2460.06_-6560.25,-2460.06,-6560.25,0.827569
07-0289_f1_0002_-2430.08_-6559.95,-2430.08,-6559.95,0.266199
07-0289_f1_0002_-2349.38_-6559.27,-2349.38,-6559.27,1.21333
07-0289_f1_0002_-2474.17_-6560.32,-2474.17,-6560.32,0.057315
07-0289_f1_0002_-2396.98_-6560.94,-2396.98,-6560.94,-0.617457
07-0289_f1_0002_-2486.73_-6560.83,-2486.73,-6560.83,0.042549
07-0289_f1_0002_-2412.78_-6559.4,-2412.78,-6559.4,-1.42964
07-0289_f1_0002_-2441.93_-6561.86,-2441.93,-6561.86,-1.38373
07-0289_f1_0002_-2468.1_-6563.53,-2468.1,-6563.53,-0.899416
07-0289_f1_0002_-2388.97_-6562.9,-2388.97,-6562.9,-0.9929
07-0289_f1_0002_-2369.91_-6563.02,-2369.91,-6563.02,-0.889088
07-0289_f1_0002_-2418.18_-6564.71,-2418.18,-6564.71,0.460282
07-0289_f1_0002_-2478.5_-6564.13,-2478.5,-6564.13,0.32011
07-0289_f1_0002_-2393.97_-6563.89,-2393.97,-6563.89,-0.176544
07-0289_f1_0002_-2490.04_-6568.47,-2490.04,-6568.47,0.335614
07-0289_f1_0002_-2452.85_-6565.92,-2452.85,-6565.92,1.21898
07-0289_f1_0002_-2384.12_-6566.33,-2384.12,-6566.33,-0.327856
07-0289_f1_0002_-2323.37_-6565.14,-2323.37,-6565.14,0.035946
07-0289_f1_0002_-2483.5_-6566.15,-2483.5,-6566.15,0.395066
07-0289_f1_0002_-2425.78_-6569.68,-2425.78,-6569.68,1.02178
07-0289_f1_0002_-2377.64_-6566.76,-2377.64,-6566.76,-1.25443
07-0289_f1_0002_-2347.43_-6566.87,-2347.43,-6566.87,-1.02891
07-0289_f1_0002_-2459.06_-6569.45,-2459.06,-6569.45,0.815415
07-0289_f1_0002_-2444.54_-6569.53,-2444.54,-6569.53,0.472654
07-0289_f1_0002_-2405.67_-6568.4,-2405.67,-6568.4,-1.48225
07-0289_f1_0002_-2366.3_-6571.62,-2366.3,-6571.62,-0.735852
07-0289_f1_0002_-2498.71_-6569.32,-2498.71,-6569.32,-1.20535
07-0289_f1_0002_-2389.12_-6570.91,-2389.12,-6570.91,1.01755
07-0289_f1_0002_-2355.62_-6572.42,-2355.62,-6572.42,-0.744483
07-0289_f1_0002_-2466.49_-6569.65,-2466.49,-6569.65,-1.08703
07-0289_f1_0002_-2471.3_-6570.42,-2471.3,-6570.42,0.804272
07-0289_f1_0002_-2378.96_-6571.53,-2378.96,-6571.53,0.810314
07-0289_f1_0002_-2495.61_-6572.79,-2495.61,-6572.79,-1.17001
07-0289_f1_0002_-2373.32_-6575.52,-2373.32,-6575.52,0.35301
07-0289_f1_0002_-2345.78_-6573.27,-2345.78,-6573.27,0.550975
07-0289_f1_0002_-2501.17_-6577.12,-2501.17,-6577.12,0.540066
07-0289_f1_0002_-2464.14_-6573.98,-2464.14,-6573.98,1.50934
07-0289_f1_0002_-2393.8_-6576.05,-2393.8,-6576.05,0.541447
07-0289_f1_0002_-2349.64_-6575.32,-2349.64,-6575.32,0.701763
07-0289_f1_0002_-2402.12_-6575.93,-2402.12,-6575.93,-1.49043
07-0289_f1_0002_-2506.8_-6575.71,-2506.8,-6575.71,-0.124389
07-0289_f1_0002_-2455.84_-6576.63,-2455.84,-6576.63,0.955492
07-0289_f1_0002_-2429.01_-6577.51,-2429.01,-6577.51,-0.263599
07-0289_f1_0002_-2342.37_-6579.17,-2342.37,-6579.17,-0.776353
07-0289_f1_0002_-2363.92_-6579.56,-2363.92,-6579.56,-0.488781
07-0289_f1_0002_-2357.47_-6577.62,-2357.47,-6577.62,0.230625
07-0289_f1_0002_-2489.93_-6577.31,-2489.93,-6577.31,1.11105
07-0289_f1_0002_-2495.05_-6577.15,-2495.05,-6577.15,1.36685
07-0289_f1_0002_-2412.35_-6579.89,-2412.35,-6579.89,-1.4929
07-0289_f1_0002_-2450.85_-6580.19,-2450.85,-6580.19,-0.101441
07-0289_f1_0002_-2458.3_-6579.57,-2458.3,-6579.57,0.959718
07-0289_f1_0002_-2441.14_-6578.24,-2441.14,-6578.24,0.617093
07-0289_f1_0002_-2437.54_-6578.79,-2437.54,-6578.79,0.128459
07-0289_f1_0002_-2352.66_-6580.99,-2352.66,-6580.99,-0.003542
07-0289_f1_0002_-2441.04_-6584.87,-2441.04,-6584.87,0.370346
07-0289_f1_0002_-2468.78_-6585.05,-2468.78,-6585.05,0.320334
07-0289_f1_0002_-2508.1_-6583.9,-2508.1,-6583.9,0.253887
07-0289_f1_0002_-2407.09_-6583.83,-2407.09,-6583.83,-0.200656
07-0289_f1_0002_-2370.55_-6585.44,-2370.55,-6585.44,-0.441345
07-0289_f1_0002_-2503.1_-6584.73,-2503.1,-6584.73,0.24499
07-0289_f1_0002_-2359.84_-6584.15,-2359.84,-6584.15,-0.761085
07-0289_f1_0002_-2416.07_-6584.22,-2416.07,-6584.22,-0.380268
07-0289_f1_0002_-2339.43_-6587.33,-2339.43,-6587.33,-0.394164
07-0289_f1_0002_-2332.66_-6584.41,-2332.66,-6584.41,0.873327
07-0289_f1_0002_-2348.52_-6583.97,-2348.52,-6583.97,-1.37209
07-0289_f1_0002_-2453.63_-6586.41,-2453.63,-6586.41,-1.47951
07-0289_f1_0002_-2511.95_-6584.92,-2511.95,-6584.92,0.378211
07-0289_f1_0002_-2355.52_-6589.97,-2355.52,-6589.97,-0.339406
